Z,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31
-13,77,0,76,10,71,20,64,28,54,36,43,42,29,47,15,50,0,51,-15,50,-29,47,-43,42,-54,36,-64,28,-71,20,-76,10,-77,0,-76,-10,-71,-20,-64,-28,-54,-36,-43,-42,-29,-47,-15,-50,0,-51,15,-50,29,-47,43,-42,54,-36,64,-28,71,-20,76,-10
-17,71,0,70,9,66,18,59,26,50,33,39,39,27,43,14,46,0,47,-14,46,-27,43,-39,39,-50,33,-59,26,-66,18,-70,9,-71,0,-70,-9,-66,-18,-59,-26,-50,-33,-39,-39,-27,-43,-14,-46,0,-47,14,-46,27,-43,39,-39,50,-33,59,-26,66,-18,70,-9
-19,64,0,63,9,59,17,53,25,45,32,36,37,24,42,12,44,0,45,-12,44,-24,42,-36,37,-45,32,-53,25,-59,17,-63,9,-64,0,-63,-9,-59,-17,-53,-25,-45,-32,-36,-37,-24,-42,-12,-44,0,-45,12,-44,24,-42,36,-37,45,-32,53,-25,59,-17,63,-9
-17,57,0,56,9,53,18,47,26,40,33,32,39,22,43,11,46,0,47,-11,46,-22,43,-32,39,-40,33,-47,26,-53,18,-56,9,-57,0,-56,-9,-53,-18,-47,-26,-40,-33,-32,-39,-22,-43,-11,-46,0,-47,11,-46,22,-43,32,-39,40,-33,47,-26,53,-18,56,-9
-13,51,0,50,10,47,20,42,28,36,36,28,42,20,47,10,50,0,51,-10,50,-20,47,-28,42,-36,36,-42,28,-47,20,-50,10,-51,0,-50,-10,-47,-20,-42,-28,-36,-36,-28,-42,-20,-47,-10,-50,0,-51,10,-50,20,-47,28,-42,36,-36,42,-28,47,-20,50,-10
-7,47,0,46,11,43,22,39,32,33,40,26,47,18,53,9,56,0,57,-9,56,-18,53,-26,47,-33,40,-39,32,-43,22,-46,11,-47,0,-46,-11,-43,-22,-39,-32,-33,-40,-26,-47,-18,-53,-9,-56,0,-57,9,-56,18,-53,26,-47,33,-40,39,-32,43,-22,46,-11
0,45,0,44,12,42,24,37,36,32,45,25,53,17,59,9,63,0,64,-9,63,-17,59,-25,53,-32,45,-37,36,-42,24,-44,12,-45,0,-44,-12,-42,-24,-37,-36,-32,-45,-25,-53,-17,-59,-9,-63,0,-64,9,-63,17,-59,25,-53,32,-45,37,-36,42,-24,44,-12
7,47,0,46,14,43,27,39,39,33,50,26,59,18,66,9,70,0,71,-9,70,-18,66,-26,59,-33,50,-39,39,-43,27,-46,14,-47,0,-46,-14,-43,-27,-39,-39,-33,-50,-26,-59,-18,-66,-9,-70,0,-71,9,-70,18,-66,26,-59,33,-50,39,-39,43,-27,46,-14
13,51,0,50,15,47,29,42,43,36,54,28,64,20,71,10,76,0,77,-10,76,-20,71,-28,64,-36,54,-42,43,-47,29,-50,15,-51,0,-50,-15,-47,-29,-42,-43,-36,-54,-28,-64,-20,-71,-10,-76,0,-77,10,-76,20,-71,28,-64,36,-54,42,-43,47,-29,50,-15
17,57,0,56,16,53,31,47,45,40,57,32,67,22,75,11,79,0,81,-11,79,-22,75,-32,67,-40,57,-47,45,-53,31,-56,16,-57,0,-56,-16,-53,-31,-47,-45,-40,-57,-32,-67,-22,-75,-11,-79,0,-81,11,-79,22,-75,32,-67,40,-57,47,-45,53,-31,56,-16
12,64,0,63,15,59,29,53,42,45,54,36,63,24,70,12,75,0,76,-12,75,-24,70,-36,63,-45,54,-53,42,-59,29,-63,15,-64,0,-63,-15,-59,-29,-53,-42,-45,-54,-36,-63,-24,-70,-12,-75,0,-76,12,-75,24,-70,36,-63,45,-54,53,-42,59,-29,63,-15
11,70,0,69,15,65,29,58,42,49,53,39,62,27,69,14,74,0,75,-14,74,-27,69,-39,62,-49,53,-58,42,-65,29,-69,15,-70,0,-69,-15,-65,-29,-58,-42,-49,-53,-39,-62,-27,-69,-14,-74,0,-75,14,-74,27,-69,39,-62,49,-53,58,-42,65,-29,69,-15
